// author: Jannik Strötgen
// email:  stroetgen@uni-hd.de
// date:   2012-07-19
// This file contains "unit words" and their normalized expressions.
// For example, the normalized value of "week" is "week"
// FORMAT: "unit-word","normalized-unit-word"
// minute and hours are not in the pattern file 
// since they have to be normalized in another way than the other expressions
// but they are needed here
"[Mm]inutos?","minute"
"[Hh]oras?","hour"
"[Gg]iornata lavorativa","day"
"[Gg]iorno lavorativo","day"
"[Gg]iorno feriale","day"
"[Gg]iorno","day"
"[Ff]ine settimana","weekend"
"[Ss]ettimana","week"
"[Mm]ese","month"
"[Tt]rimestre","quarter"
"[Aa]nno","year"
"[Dd]ecennio","decade"
"[Dd]ecade","decade"
"[Ss]ecolo","century"
